title,slug,chapter_type,abbreviation,parent_organization,organization_family,war_period,war_period_name,state,state_slug,county,county_slug,geo_tag,address_line1,city,postal_code,latitude,longitude,has_location,phone,email,website,facebook,instagram,twitter,youtube,linkedin,address_line2,service_type,nso_office_id,nso_office_number,is_foreign,officer,status,last_verified
DAV NSO Office - Anchorage,dav-nso-ak-2,service-office-nso,DAV,dav,DAV,world-war-1,World War I,AK,alaska,Anchorage Municipality,anchorage-municipality,ak_02020,VA Regional Office,Anchorage,99504,61.21122,-149.82718,true,907-257-4803,,,,,,,,"1201 N Muldoon Rd, Room 2A210",national-service-officer,2,A2,false,,,
DAV NSO Office - Montgomery,dav-nso-al-1,service-office-nso,DAV,dav,DAV,world-war-1,World War I,AL,alabama,Montgomery County,montgomery-county,al_01101,VA Regional Office,Montgomery,36109,32.37566,-86.24636,true,334-213-3365,,,,,,,,"345 Perry Hill Rd, Rm 1-116",national-service-officer,1,A0,false,,,
DAV NSO Office - N. Little Rock,dav-nso-ar-4,service-office-nso,DAV,dav,DAV,world-war-1,World War I,AR,arkansas,,,,VA Regional Office,N. Little Rock,72114,34.778656,-92.29748,true,501-370-3838,,,,,,,,"2200 Fort Roots Drive, (VAMC)",national-service-officer,4,A6,false,,,
DAV NSO Office - Phoenix,dav-nso-az-3,service-office-nso,DAV,dav,DAV,world-war-1,World War I,AZ,arizona,Maricopa County,maricopa-county,az_04013,VA Regional Office,Phoenix,85012,33.48634,-112.07371,true,602-627-3286,,,,,,,,"3333 N. Central Ave., Ste 1053",national-service-officer,3,A3,false,,,
DAV NSO Office - Los Angeles,dav-nso-ca-5,service-office-nso,DAV,dav,DAV,world-war-1,World War I,CA,california,Los Angeles County,los-angeles-county,ca_06037,DAV Federal Building,Los Angeles,90024,34.056667,-118.448814,true,310-235-6472,,,,,,,,"11000 Wilshire Blvd., Rm. 509",national-service-officer,5,B0,false,,,
DAV NSO Office - Oakland,dav-nso-ca-7,service-office-nso,DAV,dav,DAV,world-war-1,World War I,CA,california,Alameda County,alameda-county,ca_06001,VARO Oakland Federal Bldg.,Oakland,94612,37.804817,-122.27461,true,510-587-5077,,,,,,,,1301 Clay St.,national-service-officer,7,B3,false,,,
DAV NSO Office - Rancho Cordova,dav-nso-ca-6,service-office-nso,DAV,dav,DAV,world-war-1,World War I,CA,california,,,,Disabled American Veterans,Rancho Cordova,95670,38.56737,-121.30771,true,916-364-6797,,,,,,,,3046 Prospect Park Drive Rm 116,national-service-officer,6,B2,false,,,
DAV NSO Office - San Diego,dav-nso-ca-8,service-office-nso,DAV,dav,DAV,world-war-1,World War I,CA,california,,,,"8620 Spectrum Center Blvd, Suite 629",San Diego,92123,32.776634,-117.1387,true,619-400-5315,,,,,,,,,national-service-officer,8,B6,false,,,
DAV NSO Office - Denver,dav-nso-co-9,service-office-nso,DAV,dav,DAV,world-war-1,World War I,CO,colorado,Arapahoe County,arapahoe-county,co_08005,VA Regional Office,Denver,80225,39.716118,-105.138245,true,303-914-5570,,,,,,,,PO Box 25126,national-service-officer,9,C0,false,,,
DAV NSO Office - Newington,dav-nso-ct-10,service-office-nso,DAV,dav,DAV,world-war-1,World War I,CT,connecticut,,,,VA Regional Office,Newington,06111,41.7,-72.72,true,860-594-6612,,,,,,,,DAV National Service Office,national-service-officer,10,C3,false,,,
DAV NSO Office - Washington,dav-nso-dc-12,service-office-nso,DAV,dav,DAV,world-war-1,World War I,DC,district-of-columbia,District of Columbia,district-of-columbia,dc_11001,VA Regional Office,Washington,20421,38.901188,-77.040855,true,202-530-9260,,,,,,,,"1722 I Street, NW, Rm 210",national-service-officer,12,D0,false,,,
DAV NSO Office - Wilmington,dav-nso-de-11,service-office-nso,DAV,dav,DAV,world-war-1,World War I,DE,delaware,,,,VA Medical & Regional Office Center,Wilmington,19805,39.74024,-75.60687,true,302-994-2511,,,,,,,,"1601 Kirkwood Highway, Bldg 13, Rm 111G",national-service-officer,11,C6,false,,,
DAV NSO Office - Bay Pines,dav-nso-fl-16,service-office-nso,DAV,dav,DAV,world-war-1,World War I,FL,florida,,,,Disabled American Veterans,Bay Pines,33744,27.809397,-82.77676,true,727-319-7444,,,,,,,,VA Regional Office,national-service-officer,16,E0,false,,,
DAV NSO Office - West Palm Beach,dav-nso-fl-19,service-office-nso,DAV,dav,DAV,world-war-1,World War I,FL,florida,,,,WPB VA Medical Center,West Palm Beach,33410,26.786076,-80.11177,true,561-422-8203,,,,,,,,7305 N Military Trail,national-service-officer,19,E7,false,,,
DAV NSO Office - Decatur,dav-nso-ga-20,service-office-nso,DAV,dav,DAV,world-war-1,World War I,GA,georgia,Dekalb County,dekalb-county,ga_13089,VA Regional Office,Decatur,30033,33.8034,-84.31091,true,404-929-5956,,,,,,,,1700 Clairmont Road,national-service-officer,20,F0,false,,,
DAV NSO Office - Honolulu,dav-nso-hi-73,service-office-nso,DAV,dav,DAV,world-war-1,World War I,HI,hawaii,Honolulu County,honolulu-county,hi_15003,"VAMROC, E-Wing",Honolulu,96819,21.361181,-157.88876,true,808-433-0490,,,,,,,,459 Patterson Road,national-service-officer,73,W6,false,,,
DAV NSO Office - Des Moines,dav-nso-ia-24,service-office-nso,DAV,dav,DAV,world-war-1,World War I,IA,iowa,Polk County,polk-county,ia_19153,"VARO, 566 Federal Bldg",Des Moines,50309,41.586372,-93.62012,true,515-323-7539,,,,,,,,210 Walnut Street,national-service-officer,24,G3,false,,,
DAV NSO Office - Boise,dav-nso-id-21,service-office-nso,DAV,dav,DAV,world-war-1,World War I,ID,idaho,Ada County,ada-county,id_16001,VA Regional Office,Boise,83702,43.612633,-116.211075,true,208-429-2140,,,,,,,,444 W. Fort Street Rm. 143,national-service-officer,21,F3,false,,,
DAV NSO Office - Chicago,dav-nso-il-22,service-office-nso,DAV,dav,DAV,world-war-1,World War I,IL,illinois,Cook County,cook-county,il_17031,VA Regional Office,Chicago,60612,41.869286,-87.679184,true,312-980-4242,,,,,,,,"2122 W Taylor Street, Ste 104",national-service-officer,22,F6,false,,,
DAV NSO Office - Indianapolis,dav-nso-in-23,service-office-nso,DAV,dav,DAV,world-war-1,World War I,IN,indiana,Marion County,marion-county,in_18097,VARO Federal Building,Indianapolis,46204,39.77485,-86.15572,true,317-916-3615,,,,,,,,"575 N Pennsylvania St, Rm 324",national-service-officer,23,G0,false,,,
DAV NSO Office - Wichita,dav-nso-ks-25,service-office-nso,DAV,dav,DAV,world-war-1,World War I,KS,kansas,,,,"9111 E. Douglas, Suite 200, Room 210",Wichita,67207,37.692238,-97.33755,true,316-688-6722,,,,,,,,,national-service-officer,25,G6,false,,,
DAV NSO Office - Erlanger,dav-nso-ky-50,service-office-nso,DAV,dav,DAV,world-war-1,World War I,KY,kentucky,Kenton County,kenton-county,ky_21117,DAV National Headquarters,Erlanger,41018,39.03758,-84.596886,true,859-547-3391,,,,,,,,860 Dolwick Drive,national-service-officer,50,O7,false,,,
DAV NSO Office - Louisville,dav-nso-ky-26,service-office-nso,DAV,dav,DAV,world-war-1,World War I,KY,kentucky,Jefferson County,jefferson-county,ky_21111,"VA Regional Office, Suite 390",Louisville,40202,38.256622,-85.755615,true,502-566-4482,,,,,,,,"321 West Main Street, Rm 322",national-service-officer,26,H0,false,,,
DAV NSO Office - New Orleans,dav-nso-la-27,service-office-nso,DAV,dav,DAV,world-war-1,World War I,LA,louisiana,Orleans Parish,orleans-parish,la_22071,VA Regional Office,New Orleans,70113,29.951065,-90.07153,true,504-619-4350,,,,,,,,"1250 Poydras St, Room 200",national-service-officer,27,H6,false,,,
DAV NSO Office - Boston,dav-nso-ma-31,service-office-nso,DAV,dav,DAV,world-war-1,World War I,MA,massachusetts,Suffolk County,suffolk-county,ma_25025,VA Regional Office,Boston,02203,42.361435,-71.059364,true,617-303-5675,,,,,,,,"JFK Fed Bldg, Government Ctr",national-service-officer,31,J0,false,,,
DAV NSO Office - Baltimore,dav-nso-md-29,service-office-nso,DAV,dav,DAV,world-war-1,World War I,MD,maryland,Baltimore city,baltimore-city,md_24510,Disabled American Veterans (DAV),Baltimore,21201,39.28837,-76.6167,true,410-230-4440,,,,,,,,"31 Hopkins Pl, Suite G607",national-service-officer,29,I3,false,,,
DAV NSO Office - Augusta,dav-nso-me-28,service-office-nso,DAV,dav,DAV,world-war-1,World War I,ME,maine,Kennebec County,kennebec-county,me_23011,VARO - Medical Center,Augusta,04330,44.286053,-69.69861,true,207-623-5725,,,,,,,,P.O. Box 3151,national-service-officer,28,I0,false,,,
DAV NSO Office - Detroit,dav-nso-mi-32,service-office-nso,DAV,dav,DAV,world-war-1,World War I,MI,michigan,Wayne County,wayne-county,mi_26163,VARO McNamara Fed Bldg,Detroit,48226,42.331074,-83.05307,true,313-964-6595,,,,,,,,"477 Michigan Avenue, Rm 1200",national-service-officer,32,J3,false,,,
DAV NSO Office - Fort Snelling,dav-nso-mn-33,service-office-nso,DAV,dav,DAV,world-war-1,World War I,MN,minnesota,,,,Bishop Henry Whipple Federal Bldg,Fort Snelling,55111,44.893707,-93.19544,true,612-970-5665,,,,,,,,"1 Federal Dr, Rm G100",national-service-officer,33,J6,false,,,
DAV NSO Office - St. Louis,dav-nso-mo-35,service-office-nso,DAV,dav,DAV,world-war-1,World War I,MO,missouri,,,,9700 Page Ave,St. Louis,63132,38.625835,-90.20726,true,314-253-4429,,,,,,,,"Suite 101, Rm 1-096",national-service-officer,35,K3,false,,,
DAV NSO Office - Jackson,dav-nso-ms-34,service-office-nso,DAV,dav,DAV,world-war-1,World War I,MS,mississippi,Hinds County,hinds-county,ms_28049,VA Regional Office,Jackson,39216,32.32661,-90.16547,true,601-364-7178,,,,,,,,1600 E. Woodrow Wilson Ave,national-service-officer,34,K0,false,,,
DAV NSO Office - Fort Harrison,dav-nso-mt-36,service-office-nso,DAV,dav,DAV,world-war-1,World War I,MT,montana,,,,VA Regional Office,Fort Harrison,59636,46.621532,-112.10184,true,406-495-2089,,,,,,,,"3633 Veterans Dr, Ste 110B",national-service-officer,36,K6,false,,,
DAV NSO Office - Winston-Salem,dav-nso-nc-47,service-office-nso,DAV,dav,DAV,world-war-1,World War I,NC,north-carolina,,,,VA Regional Ofc Federal Bldg,Winston-Salem,27101,36.09986,-80.24422,true,336-631-5481,,,,,,,,"251 North Main St, Rm 151",national-service-officer,47,O0,false,,,
DAV NSO Office - Fargo,dav-nso-nd-48,service-office-nso,DAV,dav,DAV,world-war-1,World War I,ND,north-dakota,Cass County,cass-county,nd_38017,VA Regional Office,Fargo,58102,46.906013,-96.77577,true,701-451-4636,,,,,,,,"2101 North Elm, Room 206",national-service-officer,48,O3,false,,,
DAV NSO Office - Lincoln,dav-nso-ne-37,service-office-nso,DAV,dav,DAV,world-war-1,World War I,NE,nebraska,Lancaster County,lancaster-county,ne_31109,VA Regional Office,Lincoln,68516,40.7562,-96.65441,true,402-420-4025,,,,,,,,3800 Village Drive,national-service-officer,37,L0,false,,,
DAV NSO Office - Manchester,dav-nso-nh-40,service-office-nso,DAV,dav,DAV,world-war-1,World War I,NH,new-hampshire,,,,VARO-Norris Cotton Fed Bldg,Manchester,03101,42.98877,-71.46026,true,603-222-5788,,,,,,,,"275 Chestnut St, Rm 522",national-service-officer,40,L6,false,,,
DAV NSO Office - Newark,dav-nso-nj-41,service-office-nso,DAV,dav,DAV,world-war-1,World War I,NJ,new-jersey,Essex County,essex-county,nj_34013,VA Regional Office,Newark,07102,40.86656,-74.08122,true,973-297-3378,,,,,,,,20 Washington Place,national-service-officer,41,M0,false,,,
DAV NSO Office - Albuquerque,dav-nso-nm-42,service-office-nso,DAV,dav,DAV,world-war-1,World War I,NM,new-mexico,Bernalillo County,bernalillo-county,nm_35001,VA Regional Office,Albuquerque,87102,35.083553,-106.653435,true,505-346-4864,,,,,,,,"500 Gold Avenue, SW, Rm 3116",national-service-officer,42,M3,false,,,
DAV NSO Office - North Las Vegas,dav-nso-nv-39,service-office-nso,DAV,dav,DAV,world-war-1,World War I,NV,nevada,,,,PECOS,North Las Vegas,89086,36.160107,-115.20612,true,702-224-6850,,,,,,,,North Las Vegas VA Hospital,national-service-officer,39,L4,false,,,
DAV NSO Office - Reno,dav-nso-nv-38,service-office-nso,DAV,dav,DAV,world-war-1,World War I,NV,nevada,,,,National Service Office,Reno,89511,39.4668,-119.76456,true,775-321-4895,,,,,,,,"5460 Reno Corporate Dr, Rm 102",national-service-officer,38,L3,false,,,
DAV NSO Office - Buffalo,dav-nso-ny-45,service-office-nso,DAV,dav,DAV,world-war-1,World War I,NY,new-york,Erie County,erie-county,ny_36029,VA Regional Office,Buffalo,14202,42.889114,-78.87996,true,716-857-3354,,,,,,,,"130 S. Elmwood Ave, Ste 620",national-service-officer,45,N6,false,,,
DAV NSO Office - Cleveland,dav-nso-oh-49,service-office-nso,DAV,dav,DAV,world-war-1,World War I,OH,ohio,,,,VA Regional Office,Cleveland,44199,41.50483,-81.69182,true,216-522-3507,,,,,,,,"1240 E 9th Street, Room 1017B",national-service-officer,49,O6,false,,,
DAV NSO Office - Muskogee,dav-nso-ok-51,service-office-nso,DAV,dav,DAV,world-war-1,World War I,OK,oklahoma,Muskogee County,muskogee-county,ok_40101,VA Regional Office,Muskogee,74401,35.747456,-95.36966,true,918-781-7764,,,,,,,,"125 S Main Street, Ste 119",national-service-officer,51,P0,false,,,
DAV NSO Office - Portland,dav-nso-or-53,service-office-nso,DAV,dav,DAV,world-war-1,World War I,OR,oregon,Multnomah County,multnomah-county,or_41051,VA Regional Office,Portland,97204,45.514477,-122.67708,true,503-412-4750,,,,,,,,100 SW Main St Fl 2 Rm 212A,national-service-officer,53,P6,false,,,
DAV NSO Office - Philadelphia,dav-nso-pa-54,service-office-nso,DAV,dav,DAV,world-war-1,World War I,PA,pennsylvania,Philadelphia County,philadelphia-county,pa_42101,DAV National Service Office,Philadelphia,19144,40.2218,-74.7694,true,215-381-3065,,,,,,,,5000 Wissahickon Ave,national-service-officer,54,Q0,false,,,
DAV NSO Office - Pittsburgh,dav-nso-pa-56,service-office-nso,DAV,dav,DAV,world-war-1,World War I,PA,pennsylvania,Allegheny County,allegheny-county,pa_42003,VA Regional Office,Pittsburgh,15222,40.44354,-79.99448,true,412-395-6241,,,,,,,,"1000 Liberty Ave, Rm 1606",national-service-officer,56,Q6,false,,,
DAV NSO Office - Guaynabo,dav-nso-pr-72,service-office-nso,DAV,dav,DAV,world-war-1,World War I,PR,puerto-rico,,,,VA Regional Office (Station 355),Guaynabo,00968,18.466333,-66.10572,true,787-772-7388,,,,,,,,50 Carr 165,national-service-officer,72,W3,false,,,
DAV NSO Office - Providence,dav-nso-ri-57,service-office-nso,DAV,dav,DAV,world-war-1,World War I,RI,rhode-island,,,,VA Regional Office,Providence,02903,41.821224,-71.41476,true,401-223-3695,,,,,,,,380 Westminster Mall,national-service-officer,57,R0,false,,,
DAV NSO Office - Columbia,dav-nso-sc-58,service-office-nso,DAV,dav,DAV,world-war-1,World War I,SC,south-carolina,Lexington County,lexington-county,sc_45063,VA Regional Office,Columbia,29209,33.978405,-80.960236,true,803-647-2422,,,,,,,,"6437 Garners Ferry Rd, Suite 1129",national-service-officer,58,R3,false,,,
DAV NSO Office - Sioux Falls,dav-nso-sd-59,service-office-nso,DAV,dav,DAV,world-war-1,World War I,SD,south-dakota,Minnehaha County,minnehaha-county,sd_46099,VA Regional Office,Sioux Falls,57105,43.533043,-96.75654,true,605-333-6896,,,,,,,,2501 W 22nd St,national-service-officer,59,R6,false,,,
DAV NSO Office - Brentwood,dav-nso-tn-60,service-office-nso,DAV,dav,DAV,world-war-1,World War I,TN,tennessee,,,,DAV TN NSO Office,Brentwood,37027,36.157772,-86.78265,true,615-695-6384,,,,,,,,7100 Commerce Way,national-service-officer,60,S0,false,,,
DAV NSO Office - Houston,dav-nso-tx-62,service-office-nso,DAV,dav,DAV,world-war-1,World War I,TX,texas,,,,VA Regional Office,Houston,77030,29.699524,-95.38686,true,713-383-2715,,,,,,,,"6900 Almeda Road, Room 1033",national-service-officer,62,T3,false,,,
DAV NSO Office - San Antonio,dav-nso-tx-63,service-office-nso,DAV,dav,DAV,world-war-1,World War I,TX,texas,Bexar County,bexar-county,tx_48029,North West Health Care Center (NWHCC),San Antonio,78251,29.516253,-98.59766,true,210-706-8048,,,,,,,,DAV,national-service-officer,63,T6,false,,,
DAV NSO Office - Waco,dav-nso-tx-61,service-office-nso,DAV,dav,DAV,world-war-1,World War I,TX,texas,Mclennan County,mclennan-county,tx_48309,VA Regional Office,Waco,76799,31.551153,-97.128716,true,254-299-9932,,,,,,,,One Veterans Plaza,national-service-officer,61,T0,false,,,
DAV NSO Office - Salt Lake City,dav-nso-ut-65-2,service-office-nso,DAV,dav,DAV,world-war-1,World War I,UT,utah,Salt Lake County,salt-lake-county,ut_49035,VA Regional Office,Salt Lake City,84158,40.758423,-111.84043,true,801-326-2375,,,,,,,,"550 Foothill Drive, Suite 202",national-service-officer,65,U0,false,,,
DAV NSO Office - Salt Lake City,dav-nso-ut-65,service-office-nso,DAV,dav,DAV,world-war-1,World War I,UT,utah,Salt Lake County,salt-lake-county,ut_49035,Disabled American Veterans,Salt Lake City,84113,40.758423,-111.84043,true,801-326-2375,,,,,,,,550 Foothill Drive,national-service-officer,65,U0,false,,,
DAV NSO Office - Roanoke,dav-nso-va-67,service-office-nso,DAV,dav,DAV,world-war-1,World War I,VA,virginia,,,,VA Regional Office Federal Bldg,Roanoke,24011,37.268322,-79.94432,true,540-597-1731,,,,,,,,210 Franklin Road,national-service-officer,67,U6,false,,,
DAV NSO Office - White River Junction,dav-nso-vt-66,service-office-nso,DAV,dav,DAV,world-war-1,World War I,VT,vermont,,,,DAV National Service Office,White River Junction,05009,43.650185,-72.32235,true,802-296-5167,,,,,,,,VA Medical Center,national-service-officer,66,U3,false,,,
DAV NSO Office - Seattle,dav-nso-wa-68,service-office-nso,DAV,dav,DAV,world-war-1,World War I,WA,washington,King County,king-county,wa_53033,VA Regional Office Federal Bldg,Seattle,98174,47.604847,-122.335106,true,206-341-8267,,,,,,,,"915 2nd Avenue, Room 1040",national-service-officer,68,V0,false,,,
DAV NSO Office - Milwaukee,dav-nso-wi-70,service-office-nso,DAV,dav,DAV,world-war-1,World War I,WI,wisconsin,Milwaukee County,milwaukee-county,wi_55079,VA Regional Office,Milwaukee,53214,43.01879,-87.98028,true,414-902-5736,,,,,,,,5400 West National Avenue,national-service-officer,70,V6,false,,,
DAV NSO Office - Huntington,dav-nso-wv-69,service-office-nso,DAV,dav,DAV,world-war-1,World War I,WV,west-virginia,Lawrence County,lawrence-county,oh_39087,VA Regional Office,Huntington,25701,38.420307,-82.44787,true,304-399-9350,,,,,,,,"640 4th Avenue, Rm 156",national-service-officer,69,V3,false,,,
DAV NSO Office - Cheyenne,dav-nso-wy-71,service-office-nso,DAV,dav,DAV,world-war-1,World War I,WY,wyoming,Laramie County,laramie-county,wy_56021,VA Medical & Regional Ofc Ctr,Cheyenne,82001,41.145588,-104.78875,true,307-433-2752,,,,,,,,2360 E Pershing Boulevard,national-service-officer,71,W0,false,,,
DAV TSO Office - 29 Palms,dav-tso-29-palms,service-office-tso,DAV,dav,DAV,world-war-1,World War I,CA,california,San Bernardino County,san-bernardino-county,ca_06071,"Career Resource Ofc, McCs (Box 788150)",Twentynine Palms,92278,34.2389487,-116.05789075,true,760-401-8131,,,,,,,,"Bldg 1526, 7th St",transition-service-officer,,,,,,
DAV TSO Office - Camp Pendleton,dav-tso-camp-pendleton,service-office-tso,DAV,dav,DAV,world-war-1,World War I,CA,california,,,,"Bldg 13150, Rm 220, PO Box 555020",Camp Pendleton,92055,33.36838913,-117.42079926,true,760-725-9482,,,,,,,,Marine & Family Service Ctr,transition-service-officer,,,,,,
DAV TSO Office - San Diego/Miramar,dav-tso-san-diego-miramar,service-office-tso,DAV,dav,DAV,world-war-1,World War I,CA,california,,,,MCAS Miramar (The Hub),San Diego,92145,32.887203,-117.135791,true,858-689-9942,,,,,,,,"5305 Miramar Way, Rm 120",transition-service-officer,,,,,,
DAV TSO Office - Ft. Carson,dav-tso-ft-carson,service-office-tso,DAV,dav,DAV,world-war-1,World War I,CO,colorado,,,,1626 O'Connell Blvd,Fort Carson,80913,38.7505437,-104.7980333,true,719-524-2346,,,,,,,,Bldg 813 Rm 331,transition-service-officer,,,,,,
DAV TSO Office - Eglin Afb,dav-tso-eglin-afb,service-office-tso,DAV,dav,DAV,world-war-1,World War I,FL,florida,,,,96 FSS/DAV Bldg 210 Rm 167-B,Eglin AFB,32542,30.482599,-86.505932,true,850-882-4040,,,,,,,,310 W Van Matre Ave,transition-service-officer,,,,,,
DAV TSO Office - Ft Benning,dav-tso-ft-benning,service-office-tso,DAV,dav,DAV,world-war-1,World War I,GA,georgia,,,,Soldier For Life Tap,Fort Benning,31905,32.372259,-84.920226,true,706-545-2308,,,,,,,,bldg 9230,transition-service-officer,,,,,,
DAV TSO Office - Robins Afb/Decatur,dav-tso-robins-afb-decatur,service-office-tso,DAV,dav,DAV,world-war-1,World War I,GA,georgia,,,,78th FSS/FSFR,Robbins AFB,31098,32.6022698,-83.5821833,true,478-926-1256,,,,,,,,"725 9th St, Ste 100",transition-service-officer,,,,,,
DAV TSO Office - Great Lakes NTC,dav-tso-great-lakes-ntc,service-office-tso,DAV,dav,DAV,world-war-1,World War I,IL,illinois,,,,Captain James A Lovell FHCC,North Chicago,60064,42.306721,-87.860488,true,224-610-1460,,,,,,,,3001 Green Bay Rd,transition-service-officer,,,,,,
DAV TSO Office - Ft. Campbell,dav-tso-ft-campbell,service-office-tso,DAV,dav,DAV,world-war-1,World War I,KY,kentucky,Montgomery County,montgomery-county,tn_47125,Veterans Services,Ft. Campbell,42223,36.6360793,-87.4574453,true,931-431-9472,,,,,,,,"5663 Screaming Eagles Blvd, Rm 115",transition-service-officer,,,,,,
DAV TSO Office - Ft. Knox,dav-tso-ft-knox,service-office-tso,DAV,dav,DAV,world-war-1,World War I,KY,kentucky,,,,Transition Service Office,Fort Knox,40121,37.89749908,-85.9571228,true,502-942-9312,,,,,,,,"26 Pershing Dr, Bldg 1379, Rm 11",transition-service-officer,,,,,,
DAV TSO Office - Barksdale AFB,dav-tso-barksdale-afb,service-office-tso,DAV,dav,DAV,world-war-1,World War I,LA,louisiana,,,,c/o 2nd FSS/FSFR,Barksdale AFB,71110,32.4929208,-93.6754817,true,318-456-8697,,,,,,,,Airman & Family Readiness Center,transition-service-officer,,,,,,
DAV TSO Office - Keesler AFB,dav-tso-keesler-afb,service-office-tso,DAV,dav,DAV,world-war-1,World War I,MS,mississippi,,,,Airman & Family Readiness Center,Keesler AFB,39534,30.411136,-88.914081,true,228-376-2638,,,,,,,,"500 Fisher St, Rm 133",transition-service-officer,,,,,,
DAV TSO Office - Camp Lejeune,dav-tso-camp-lejeune,service-office-tso,DAV,dav,DAV,world-war-1,World War I,NC,north-carolina,,,,DAV Transition Service Office,Camp Lejeune,28547,34.6623383,-77.3537533,true,910-451-4205,,,,,,,,316 G Street,transition-service-officer,,,,,,
DAV TSO Office - Ft. Bragg North Carolina,dav-tso-ft-bragg-north-carolina,service-office-tso,DAV,dav,DAV,world-war-1,World War I,NC,north-carolina,,,,"Bldg 4-2843, Normandy St, Wing A, Ste 100",Fort Bragg,28307,35.138195,-79.001115,true,910-396-8611,,,,,,,,PO Box 71258,transition-service-officer,,,,,,
DAV TSO Office - Wright-Patterson Afb,dav-tso-wright-patterson-afb,service-office-tso,DAV,dav,DAV,world-war-1,World War I,OH,ohio,,,,Airman & Family Readiness Center,Wright-Patterson AFB,45433,39.83330154,-84.05000305,true,937-656-0947,,,,,,,,"2000 Allbrook Dr, Bldg 2, Rm 217",transition-service-officer,,,,,,
DAV TSO Office - Ft. Sill,dav-tso-ft-sill,service-office-tso,DAV,dav,DAV,world-war-1,World War I,OK,oklahoma,,,,4700 Mow Way Rd,Fort Sill,73503,34.647974,-98.412344,true,580-442-2250,,,,,,,,Ste 317 VA BDD,transition-service-officer,,,,,,
DAV TSO Office - Ft. Hood,dav-tso-ft-hood,service-office-tso,DAV,dav,DAV,world-war-1,World War I,TX,texas,,,,The Shoemaker Center,Fort Hood,76544,31.130931,-97.774144,true,254-288-3745,,,,,,,,36000 Darnall Loop,transition-service-officer,,,,,,
DAV TSO Office - Ft. Sam Houston,dav-tso-ft-sam-houston,service-office-tso,DAV,dav,DAV,world-war-1,World War I,TX,texas,,,,San Antonio Military Medical Center,Fort Sam Houston,78234,29.45988,-98.416678,true,210-916-5012,,,,,,,,3551 Roger Brooke Dr,transition-service-officer,,,,,,
DAV TSO Office - SanAntonio/Ft Sam Houston,dav-tso-sanantonio-ft-sam-houston,service-office-tso,DAV,dav,DAV,world-war-1,World War I,TX,texas,Bexar County,bexar-county,tx_48029,"VA Contact Office, Rm. 2B136",San Antonio,78240,29.515864,-98.596964,true,210-916-5012,,,,,,,,5788 Eckhert Road,transition-service-officer,,,,,,
DAV TSO Office - Ft Belvoir,dav-tso-ft-belvoir,service-office-tso,DAV,dav,DAV,world-war-1,World War I,VA,virginia,,,,Army Community Service Center,Fort Belvoir,22060,38.7025397,-77.1424843,true,571-231-7011,,,,,,,,5965 6th St,transition-service-officer,,,,,,
DAV TSO Office - Norfolk,dav-tso-norfolk,service-office-tso,DAV,dav,DAV,world-war-1,World War I,VA,virginia,Norfolk City,norfolk-city,va_51710,DAV Transition Service Office,Norfolk,23511,36.94301605,-76.30390167,true,757-489-7910,,,,,,,,P.O. Box 15278,transition-service-officer,,,,,,
DAV TSO Office - Quantico,dav-tso-quantico,service-office-tso,DAV,dav,DAV,world-war-1,World War I,VA,virginia,,,,Rm 9b,Quantico,22134,38.507777,-77.309025,true,571-388-6148,,,,,,,,3089 Roan St,transition-service-officer,,,,,,
DAV TSO Office - Bremerton NAS,dav-tso-bremerton-nas,service-office-tso,DAV,dav,DAV,world-war-1,World War I,WA,washington,Mason County,mason-county,wa_53045,West Sound/Bremerton Pre-Separation Office,Bremerton,98337,47.566778,-122.626627,true,206-341-8641,,,,,,,,500 Pacific Ave Rm 611,transition-service-officer,,,,,,
DAV TSO Office - Ft Lewis,dav-tso-ft-lewis,service-office-tso,DAV,dav,DAV,world-war-1,World War I,WA,washington,,,,Waller Hall Rm 700,Joint Base Lewis-McChord,98433,47.13494492,-122.52481079,true,253-966-1280,,,,,,,,2140 Liggett Ave,transition-service-officer,,,,,,
DAV TSO Office - McChord AFB,dav-tso-mcchord-afb,service-office-tso,DAV,dav,DAV,world-war-1,World War I,WA,washington,,,,"100 Col Joe Jackson Blvd, Ste 3112",Joint Base Lewis McChord,98438,47.133032,-122.485544,true,253-982-1310,,,,,,,,,transition-service-officer,,,,,,
DAV TSO Office - Oak Harbor,dav-tso-oak-harbor-2,service-office-tso,DAV,dav,DAV,world-war-1,World War I,WA,washington,Island County,island-county,wa_53029,Whidbey Pre-Separation Office,Oak Harbor,98278,48.3433695,-122.6813293,true,360-257-4805,,,,,,,,3675 Lexington St Bldg 2556,transition-service-officer,,,,,,
DAV TSO Office - Oak Harbor,dav-tso-oak-harbor,service-office-tso,DAV,dav,DAV,world-war-1,World War I,WA,washington,Island County,island-county,wa_53029,Whidbey Pre-Separation Office,Oak Harbor,98278,48.33775,-122.678813,true,360-257-4805,,,,,,,,"3535 Saratoga St, Bldg 2527",transition-service-officer,,,,,,
