title,slug,chapter_type,abbreviation,parent_organization,organization_family,war_period,war_period_name,state,state_slug,county,county_slug,geo_tag,address_line1,city,postal_code,latitude,longitude,has_location,phone,email,website,post_number
Marine Corps League,mcl,hq,MCL,,MCL,world-war-1,,VA,virginia,Stafford County,stafford-county,va_51179,3619 Jefferson Davis Hwy,Stafford,22554,38.4585,-77.4126,True,(703) 207-9588,,https://www.mclnational.org/,
Marine Corps League Department of Alabama,mcl_al_01101,state,MCL,mcl,MCL,world-war-1,,AL,alabama,Montgomery County,montgomery-county,al_01101,120 North Jackson,Montgomery,36104,32.361538,-86.279118,True,,,,
Marine Corps League Department of Arkansas,mcl_ar_05119,state,MCL,mcl,MCL,world-war-1,,AR,arkansas,Pulaski County,pulaski-county,ar_05119,P.O. Box 3280 -- 7th & Victory Street,Little Rock,72203,34.736009,-92.331122,True,,,,
Marine Corps League Department of Arizona,mcl_az_04013,state,MCL,mcl,MCL,world-war-1,,AZ,arizona,Maricopa County,maricopa-county,az_04013,"3333 N. Central Ave, Suite 1048,",Phoenix,85012,33.448457,-112.073844,True,,,,
Marine Corps League Department of California,mcl_ca_06019,state,MCL,mcl,MCL,world-war-1,,CA,california,Fresno County,fresno-county,ca_06019,1601 7th St,Sanger,93657,38.555605,-121.468926,True,,,,
Marine Corps League Department of Colorado,mcl_co_08005,state,MCL,mcl,MCL,world-war-1,,CO,colorado,Arapahoe County,arapahoe-county,co_08005,7465 E. 1st Ave. Suite D,Denver,80230,39.739167,-104.984167,True,,,,
Marine Corps League Department of Connecticut,mcl_ct_09007,state,MCL,mcl,MCL,world-war-1,,CT,connecticut,Middlesex County,middlesex-county,ct_09007,269 Main St.,Cromwell,6416,41.767,-72.677,True,,,,
Marine Corps League Department of Delaware,mcl_de_10005,state,MCL,mcl,MCL,world-war-1,,DE,delaware,Sussex County,sussex-county,de_10005,PO Box 930,Seaford,19973,39.161921,-75.526755,True,,,,
Marine Corps League Department of Florida,mcl_fl_12095,state,MCL,mcl,MCL,world-war-1,,FL,florida,Orange County,orange-county,fl_12095,1912 A Lee Road,Orlando,32810,30.4518,-84.27277,True,,,,
Marine Corps League Department of Georgia,mcl_ga_13063,state,MCL,mcl,MCL,world-war-1,,GA,georgia,Clayton County,clayton-county,ga_13063,3035 Mt Zion Rd,Stockbridge,30281,33.76,-84.39,True,,,,
Marine Corps League Department of Hawaii,mcl_hi_15003,state,MCL,mcl,MCL,world-war-1,,HI,hawaii,Honolulu County,honolulu-county,hi_15003,612 McCully Street,Honolulu,96826,21.30895,-157.826182,True,,,,
Marine Corps League Department of Iowa,mcl_ia_19153,state,MCL,mcl,MCL,world-war-1,,IA,iowa,Polk County,polk-county,ia_19153,720 Lyon Street,Des Moines,50309,41.590939,-93.620866,True,,,,
Marine Corps League Department of Idaho,mcl_id_16001,state,MCL,mcl,MCL,world-war-1,,ID,idaho,Ada County,ada-county,id_16001,901 W. Warren Street,Boise,83706,43.613739,-116.237651,True,,,,
Marine Corps League Department of Illinois,mcl_il_17113,state,MCL,mcl,MCL,world-war-1,,IL,illinois,McLean County,mclean-county,il_17113,2720 E Lincoln St,Bloomington,61704,39.78325,-89.650373,True,,,,
Marine Corps League Department of Indiana,mcl_in_18097,state,MCL,mcl,MCL,world-war-1,,IN,indiana,Marion County,marion-county,in_18097,5440 Herbert Lord Road,Indianapolis,46216,39.790942,-86.147685,True,,,,
Marine Corps League Department of Kansas,mcl_ks_20177,state,MCL,mcl,MCL,world-war-1,,KS,kansas,Shawnee County,shawnee-county,ks_20177,1314 SW Topeka Blvd.,Topeka,66612,39.04,-95.69,True,,,,
Marine Corps League Department of Kentucky,mcl_ky_21111,state,MCL,mcl,MCL,world-war-1,,KY,kentucky,Jefferson County,jefferson-county,ky_21111,5536 New Cut Road,Louisville,40214,38.197274,-84.86311,True,,,,
Marine Corps League Department of Louisiana,mcl_la_22033,state,MCL,mcl,MCL,world-war-1,,LA,louisiana,East Baton Rouge Parish,east-baton-rouge-parish,la_22033,602 North 5th Street,Baton Rouge,70802,30.45809,-91.140229,True,,,,
Marine Corps League Department of Massachusetts,mcl_ma_25025,state,MCL,mcl,MCL,world-war-1,,MA,massachusetts,Suffolk County,suffolk-county,ma_25025,JFK Federal Building Room 1500D,Boston,2203,42.2352,-71.0275,True,,,,
Marine Corps League Department of Maryland,mcl_md_24510,state,MCL,mcl,MCL,world-war-1,,MD,maryland,Baltimore city,baltimore-city,md_24510,101 N. Gay Street,Baltimore,21202,38.972945,-76.501157,True,,,,
Marine Corps League Department of Maine,mcl_me_23011,state,MCL,mcl,MCL,world-war-1,,ME,maine,Kennebec County,kennebec-county,me_23011,5 Verti Drive,Winslow,4901,44.323535,-69.765261,True,,,,
Marine Corps League Department of Michigan,mcl_mi_26065,state,MCL,mcl,MCL,world-war-1,,MI,michigan,Ingham County,ingham-county,mi_26065,212 N Verlinden Ave,Lansing,48915,42.7335,-84.5467,True,,,,
Marine Corps League Department of Minnesota,mcl_mn_27123,state,MCL,mcl,MCL,world-war-1,,MN,minnesota,Ramsey County,ramsey-county,mn_27123,"20 W. 12th Street, Room 300A",St. Paul,55155,44.95,-93.094,True,,,,
Marine Corps League Department of Missouri,mcl_mo_29051,state,MCL,mcl,MCL,world-war-1,,MO,missouri,Cole County,cole-county,mo_29051,3341 American Ave,Jefferson City,65109,38.572954,-92.189283,True,,,,
Marine Corps League Department of Mississippi,mcl_ms_28049,state,MCL,mcl,MCL,world-war-1,,MS,mississippi,Hinds County,hinds-county,ms_28049,120 North State Street,Jackson,39205,32.32,-90.207,True,,,,
Marine Corps League Department of Montana,mcl_mt_30047,state,MCL,mcl,MCL,world-war-1,,MT,montana,Lake County,lake-county,mt_30047,PO Box 1447,Polson,59860,46.595805,-112.027031,True,,,,
Marine Corps League Department of North Carolina,mcl_nc_37101,state,MCL,mcl,MCL,world-war-1,,NC,north-carolina,Johnston County,johnston-county,nc_37101,2940 Falstaff Rd.,Raleigh,27610,35.771,-78.638,True,,,,
Marine Corps League Department of North Dakota,mcl_nd_38017,state,MCL,mcl,MCL,world-war-1,,ND,north-dakota,Cass County,cass-county,nd_38017,405 W. Main Ave.,West Fargo,58078,48.813343,-100.779004,True,,,,
Marine Corps League Department of Nebraska,mcl_ne_31109,state,MCL,mcl,MCL,world-war-1,,NE,nebraska,Lancaster County,lancaster-county,ne_31109,150 NW 40th Street,Lincoln,68528,40.809868,-96.675345,True,,,,
Marine Corps League Department of New Hampshire,mcl_nh_33013,state,MCL,mcl,MCL,world-war-1,,NH,new-hampshire,Merrimack County,merrimack-county,nh_33013,21 South Fruit Street,Concord,3301,43.220093,-71.549127,True,,,,
Marine Corps League Department of New Jersey,mcl_nj_34021,state,MCL,mcl,MCL,world-war-1,,NJ,new-jersey,Mercer County,mercer-county,nj_34021,171 Jersey Street,Trenton,8611,40.221741,-74.756138,True,,,,
Marine Corps League Department of New Mexico,mcl_nm_35001,state,MCL,mcl,MCL,world-war-1,,NM,new-mexico,Bernalillo County,bernalillo-county,nm_35001,1215 Mountain RD NE,Albuquerque,87102,35.667231,-105.964575,True,,,,
Marine Corps League Department of Nevada,mcl_nv_32003,state,MCL,mcl,MCL,world-war-1,,NV,nevada,Clark County,clark-county,nv_32003,737 Veterans Memorial Drive,Las Vegas,89101,39.160949,-119.753877,True,,,,
Marine Corps League Department of New York,mcl_ny_36083,state,MCL,mcl,MCL,world-war-1,,NY,new-york,Rensselaer County,rensselaer-county,ny_36083,1304 Park Boulevard,Troy,12180,42.659829,-73.781339,True,,,,
Marine Corps League Department of Ohio,mcl_oh_39041,state,MCL,mcl,MCL,world-war-1,,OH,ohio,Delaware County,delaware-county,oh_39041,60 Big Run Rd,Delaware,43015,39.962245,-83.000647,True,,,,
Marine Corps League Department of Oklahoma,mcl_ok_40109,state,MCL,mcl,MCL,world-war-1,,OK,oklahoma,Oklahoma County,oklahoma-county,ok_40109,6101 NW 50th Street-Suite A,Warr Acres,73122,35.482309,-97.534994,True,,,,
Marine Corps League Department of Oregon,mcl_or_41005,state,MCL,mcl,MCL,world-war-1,,OR,oregon,Clackamas County,clackamas-county,or_41005,30450 SW Parkway Avenue,Wilsonville,97070,44.931109,-123.029159,True,,,,
Marine Corps League Department of Pennsylvania,mcl_pa_42041,state,MCL,mcl,MCL,world-war-1,,PA,pennsylvania,Cumberland County,cumberland-county,pa_42041,800 N. Front Street,Wormleysburg,17043,40.269789,-76.875613,True,,,,
Marine Corps League Department of Rhode Island,mcl_ri_44003,state,MCL,mcl,MCL,world-war-1,,RI,rhode-island,Kent County,kent-county,ri_44003,5440 Herbert Lord Rd,Cranston,2920,41.82355,-71.422132,True,,,,
Marine Corps League Department of South Carolina,mcl_sc_45063,state,MCL,mcl,MCL,world-war-1,,SC,south-carolina,Lexington County,lexington-county,sc_45063,103 Legion Plaza Rd,Columbia,29210,34.0,-81.035,True,,,,
Marine Corps League Department of South Dakota,mcl_sd_46029,state,MCL,mcl,MCL,world-war-1,,SD,south-dakota,Codington County,codington-county,sd_46029,P.O. Box 67,Watertown,57201,44.367966,-100.336378,True,,,,
Marine Corps League Department of Tennessee,mcl_tn_47037,state,MCL,mcl,MCL,world-war-1,,TN,tennessee,Davidson County,davidson-county,tn_47037,318 Donelson Pike,Nashville,37214,36.165,-86.784,True,,,,
Marine Corps League Department of Texas,mcl_tx_48453,state,MCL,mcl,MCL,world-war-1,,TX,texas,Travis County,travis-county,tx_48453,P.O. Box 140527,Austin,78714,30.266667,-97.75,True,,,,
Marine Corps League Department of Utah,mcl_ut_49035,state,MCL,mcl,MCL,world-war-1,,UT,utah,Salt Lake County,salt-lake-county,ut_49035,"350 North State Street, PO Box 148000",Salt Lake City,84114,40.7547,-111.892622,True,,,,
Marine Corps League Department of Virginia,mcl_va_51087,state,MCL,mcl,MCL,world-war-1,,VA,virginia,Henrico County,henrico-county,va_51087,1708 Commonwealth Ave,Richmond,23230,37.54,-77.46,True,,,,
Marine Corps League Department of Vermont,mcl_vt_50023,state,MCL,mcl,MCL,world-war-1,,VT,vermont,Washington County,washington-county,vt_50023,"126 State Street, P.O. Box 396",Montpelier,5601,44.26639,-72.57194,True,,,,
Marine Corps League Department of Washington,mcl_wa_53067,state,MCL,mcl,MCL,world-war-1,,WA,washington,Thurston County,thurston-county,wa_53067,3600 Ruddell Rd SE,Lacey,98503,47.042418,-122.893077,True,,,,
Marine Corps League Department of Wisconsin,mcl_wi_55021,state,MCL,mcl,MCL,world-war-1,,WI,wisconsin,Columbia County,columbia-county,wi_55021,"2930 American Legion Dr., PO Box 388",Portage,53901,43.074722,-89.384444,True,,,,
Marine Corps League Department of West Virginia,mcl_wv_54039,state,MCL,mcl,MCL,world-war-1,,WV,west-virginia,Kanawha County,kanawha-county,wv_54039,P.O. Box 3191,Charleston,25332,38.349497,-81.633294,True,,,,
Marine Corps League Department of Wyoming,mcl_wy_56021,state,MCL,mcl,MCL,world-war-1,,WY,wyoming,Laramie County,laramie-county,wy_56021,PO Box 20172,Cheyenne,82003,41.145548,-104.802042,True,,,,
